                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.6387,                 1.5752,                 0.8355,                0.77311,                0.39904,                0.45261,                0.20477,                 1.9408,                 2.0688,                 1.1039,             0.00090004,             0.00090004,             0.00090004
                     71,                 1.4586,                 1.5378,                0.75392,                0.83739,                0.41976,                0.46574,                0.21554,                 1.7714,                 1.7385,                 1.0664,             0.00089726,             0.00089726,             0.00089726
                     72,                 1.6046,                 1.4986,                0.86403,                0.78673,                0.41289,                0.47391,                0.22175,                 1.6902,                 1.6015,                  1.018,             0.00089444,             0.00089444,             0.00089444
                     73,                 1.6116,                 1.4322,                0.84032,                0.75841,                 0.4049,                0.45744,                0.20319,                 1.7541,                 1.6307,                 1.0372,             0.00089159,             0.00089159,             0.00089159
                     74,                 1.5855,                  1.587,                0.85623,                0.74822,                0.39738,                0.43581,                0.18314,                 1.7959,                 1.6883,                 1.0554,              0.0008887,              0.0008887,              0.0008887
                     75,                 1.5154,                 1.4909,                0.79519,                0.77216,                0.38998,                 0.4546,                0.20818,                 1.7989,                 1.7523,                 1.0317,             0.00088579,             0.00088579,             0.00088579
                     76,                 1.5226,                 1.5592,                0.82325,                0.77712,                0.41238,                0.45195,                0.19752,                 1.6208,                  1.509,                0.98635,             0.00088284,             0.00088284,             0.00088284
                     77,                 1.5818,                  2.259,                0.84086,                0.77036,                0.39584,                0.42172,                0.16853,                 1.7132,                 1.8931,                 1.0138,             0.00087987,             0.00087987,             0.00087987
                     78,                 1.6447,                    1.4,                0.84415,                0.77219,                 0.3973,                0.45679,                0.20398,                 1.7004,                 1.8201,                 1.0078,             0.00087686,             0.00087686,             0.00087686
                     79,                 1.4925,                 1.4781,                0.80735,                0.78744,                0.42195,                0.48008,                0.22636,                 1.6161,                 1.5402,                0.98549,             0.00087382,             0.00087382,             0.00087382
                     80,                 1.5584,                 1.2635,                0.80167,                0.80391,                0.40845,                0.47395,                0.21978,                 1.6609,                  1.569,                 1.0048,             0.00087075,             0.00087075,             0.00087075
                     81,                 1.5204,                 1.3234,                0.80416,                0.78129,                0.40703,                0.46102,                0.18465,                 1.7028,                 1.6294,                 1.0056,             0.00086765,             0.00086765,             0.00086765
                     82,                 1.5533,                 1.2951,                0.79816,                0.77113,                0.41183,                0.47167,                0.21285,                  1.639,                 1.5938,                0.98244,             0.00086452,             0.00086452,             0.00086452
                     83,                 1.5015,                 1.1946,                0.84365,                0.81164,                0.39945,                0.46399,                0.22326,                 1.6214,                 1.7255,                0.99162,             0.00086137,             0.00086137,             0.00086137
                     84,                 1.5848,                 1.4459,                0.83511,                0.74721,                0.41289,                0.47247,                0.21017,                 1.6582,                 1.5976,                0.99852,             0.00085818,             0.00085818,             0.00085818
                     85,                 1.4362,                 1.1759,                0.77182,                0.76154,                0.41515,                0.46578,                0.20593,                 1.7015,                 1.6263,                0.98992,             0.00085497,             0.00085497,             0.00085497
                     86,                 1.5803,                 1.3923,                 0.8284,                0.78477,                0.41822,                0.46075,                0.21385,                 1.6534,                 1.6945,                0.98054,             0.00085173,             0.00085173,             0.00085173
                     87,                 1.5663,                 1.2196,                0.81554,                0.77322,                0.41822,                 0.4657,                0.21446,                 1.7002,                 1.6814,                 0.9882,             0.00084846,             0.00084846,             0.00084846
                     88,                 1.5937,                 1.3971,                0.83699,                0.78912,                0.41502,                0.47047,                0.19924,                  1.659,                 1.7202,                0.99009,             0.00084516,             0.00084516,             0.00084516
                     89,                 1.5817,                 1.5137,                0.87428,                0.79676,                0.39744,                0.45063,                0.19057,                 1.7373,                 1.6228,                 1.0304,             0.00084184,             0.00084184,             0.00084184
